unix_time,dt,open,high,low,close,size
1552646760,2019-03-15 19:46:00,428017,428330,427983,428237,199.31496831
1552646820,2019-03-15 19:47:00,428198,428294,428106,428244,177.78001975
1552646880,2019-03-15 19:48:00,428244,428264,428150,428200,132.11157611
1552646940,2019-03-15 19:49:00,428201,428233,428087,428112,98.64237232
1552647000,2019-03-15 19:50:00,428106,428342,428102,428284,194.81898924
1552647060,2019-03-15 19:51:00,428301,428887,428130,428464,483.76187232
1552647120,2019-03-15 19:52:00,428500,429396,428482,429293,459.39842035
1552647180,2019-03-15 19:53:00,429232,429389,428688,429389,339.01841744
1552647240,2019-03-15 19:54:00,429389,429410,428882,428882,345.29057611
1552647300,2019-03-15 19:55:00,428851,428851,428000,428201,451.72157078
1552647360,2019-03-15 19:56:00,428186,428430,428108,428123,280.4619631
1552647420,2019-03-15 19:57:00,428114,428286,427700,427800,419.09448647
1552647480,2019-03-15 19:58:00,427839,428137,427707,428090,264.95499332
1552647540,2019-03-15 19:59:00,428090,428197,427862,428011,256.20893711
1552647600,2019-03-15 20:00:00,427903,428000,427551,427868,322.87038771
1552647660,2019-03-15 20:01:00,427868,427932,427627,427866,204.41634096
1552647720,2019-03-15 20:02:00,427870,427920,427676,427920,171.70124648
1552647780,2019-03-15 20:03:00,427920,428155,427920,428056,276.43986191
1552647840,2019-03-15 20:04:00,428056,428307,428049,428236,216.81517795
1552647900,2019-03-15 20:05:00,428235,428297,428100,428209,150.17858617
1552647960,2019-03-15 20:06:00,428209,428337,428143,428297,74.52299325
1552648020,2019-03-15 20:07:00,428283,428388,428200,428325,242.35737357
1552648080,2019-03-15 20:08:00,428333,428564,428311,428447,278.66387544
1552648140,2019-03-15 20:09:00,428461,428490,428300,428440,144.64656213
1552648200,2019-03-15 20:10:00,428436,428500,428300,428360,116.18833783
1552648260,2019-03-15 20:11:00,428360,428371,428160,428271,167.67768266
1552648320,2019-03-15 20:12:00,428250,428536,428145,428207,173.3432667
1552648380,2019-03-15 20:13:00,428207,428317,428115,428158,156.91800244
1552648440,2019-03-15 20:14:00,428183,428378,428103,428338,152.07209947
1552648500,2019-03-15 20:15:00,428338,428397,428245,428328,85.60307682
1552648560,2019-03-15 20:16:00,428315,428507,428304,428323,136.67732359
1552648620,2019-03-15 20:17:00,428309,428338,428200,428203,122.38250405
1552648680,2019-03-15 20:18:00,428202,428326,428200,428326,95.78460663
1552648740,2019-03-15 20:19:00,428324,428379,428277,428301,110.95156739
1552648800,2019-03-15 20:20:00,428312,428339,428071,428223,148.57120157
